row_id,topic_cluster
3384,-1
3385,-1
3386,3
3387,-1
3389,-1
3390,-1
3392,3
3393,-1
3394,-1
3396,-1
3397,-1
3398,3
3400,-1
3401,-1
3402,-1
3403,-1
3405,3
3406,-1
3407,-1
3408,-1
3409,3
3410,-1
3412,-1
3413,-1
3414,3
3417,-1
3418,-1
3419,3
3420,-1
3423,3
3425,3
3427,-1
3428,-1
3429,3
3431,-1
3433,-1
3434,-1
3436,-1
3438,-1
3439,-1
3440,-1
3442,-1
3443,-1
3444,-1
3445,-1
3450,3
3451,-1
3453,-1
3454,-1
3458,3
3459,-1
3461,3
3462,-1
3463,-1
3464,-1
3466,-1
3467,-1
3468,-1
3470,-1
3473,-1
3474,-1
3475,-1
3476,-1
3477,-1
3478,-1
3480,-1
3481,-1
3482,-1
3483,-1
3484,-1
3486,3
3489,-1
3490,-1
3492,3
3493,-1
3494,-1
3495,-1
3497,-1
3499,-1
3500,3
3501,3
3502,-1
3503,3
3504,-1
3505,-1
3506,-1
3507,3
3508,3
3509,3
3510,-1
3511,3
3512,3
3515,-1
3516,3
3517,-1
3518,-1
3519,-1
3520,3
3523,-1
3524,-1
3525,-1
3526,-1
3527,-1
3528,3
3529,-1
3530,3
3531,-1
3533,3
3535,-1
3537,-1
3538,-1
3540,-1
3541,3
3542,-1
3543,-1
3546,-1
3547,3
3548,-1
3549,-1
3551,3
3552,-1
3553,3
3557,-1
3558,3
3561,-1
3562,-1
3563,-1
3566,-1
3570,-1
3571,-1
3572,-1
3573,-1
3574,-1
3575,-1
3576,-1
3577,-1
3578,-1
3579,-1
3580,-1
3581,-1
3582,3
3583,-1
3586,3
3588,-1
3590,-1
3591,-1
3592,-1
3594,-1
3595,3
3597,3
3599,-1
3600,3
3601,-1
3602,3
3605,-1
3606,3
3608,3
3609,3
3610,-1
3611,3
3612,-1
3613,3
3614,3
3615,-1
3618,-1
3619,-1
3621,-1
3622,-1
3623,-1
3624,-1
3626,3
3627,0
3628,3
3629,3
3630,-1
3631,-1
3632,-1
3633,-1
3634,-1
3635,3
3638,-1
3640,-1
3645,3
3646,-1
3650,-1
3651,3
3652,-1
3655,-1
3656,-1
3657,-1
3658,3
3659,-1
3660,3
3661,-1
3662,-1
3665,-1
3666,-1
3667,3
3668,3
3670,-1
3671,-1
3673,-1
3674,-1
3676,-1
3678,-1
3680,-1
3681,-1
3682,-1
3684,-1
3685,3
3686,-1
3688,3
3690,-1
3693,3
3694,-1
3695,3
3696,-1
3697,-1
3699,-1
3702,-1
3703,3
3705,-1
3706,-1
3707,-1
3709,-1
3712,3
3715,-1
3716,3
3719,3
3722,3
3723,3
3724,-1
3728,-1
3729,-1
3730,-1
3731,-1
3732,0
3735,-1
3736,-1
3737,-1
3738,-1
3739,-1
3741,-1
3742,-1
3744,3
3745,-1
3746,-1
3747,-1
3748,3
3749,-1
3750,-1
3752,-1
3753,-1
3755,-1
3756,3
3757,3
3758,-1
3759,3
3761,-1
3762,-1
3764,-1
3765,-1
3766,-1
3767,3
3768,-1
3770,-1
3771,-1
3772,-1
3773,3
3776,3
3777,3
3779,-1
3780,-1
3781,-1
3783,-1
3784,3
3785,-1
3786,-1
3787,-1
3790,-1
3791,3
3792,-1
3794,-1
3796,-1
3797,-1
3802,-1
3804,-1
3805,-1
3806,3
3809,3
3812,-1
3813,3
3814,3
